"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Summary statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2016A000011124","Software publishers [51321]","Operating revenue","Dollars","81","millions","6","v100304038","1.1.1","7669.0","","","","1"
"2012","Canada","2016A000011124","Software publishers [51321]","Operating expenses","Dollars","81","millions","6","v100304039","1.1.2","6957.5","","","","1"
"2012","Canada","2016A000011124","Software publishers [51321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304040","1.1.3","3324.3","","","","1"
"2012","Canada","2016A000011124","Software publishers [51321]","Operating profit margin","Percent","239","units","0","v100304041","1.1.4","9.3","","","","1"
"2012","Canada","2016A000011124","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating revenue","Dollars","81","millions","6","v100304042","1.2.1","3872.1","","","","1"
"2012","Canada","2016A000011124","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating expenses","Dollars","81","millions","6","v100304043","1.2.2","3378.6","","","","1"
"2012","Canada","2016A000011124","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304044","1.2.3","1116.2","","","","1"
"2012","Canada","2016A000011124","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating profit margin","Percent","239","units","0","v100304045","1.2.4","12.7","","","","1"
"2012","Canada","2016A000011124","Computer systems design and related services [54151]","Operating revenue","Dollars","81","millions","6","v100304046","1.3.1","37471.7","","","","1"
"2012","Canada","2016A000011124","Computer systems design and related services [54151]","Operating expenses","Dollars","81","millions","6","v100304047","1.3.2","32946.3","","","","1"
"2012","Canada","2016A000011124","Computer systems design and related services [54151]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304048","1.3.3","15431.4","","","","1"
"2012","Canada","2016A000011124","Computer systems design and related services [54151]","Operating profit margin","Percent","239","units","0","v100304049","1.3.4","12.1","","","","1"
"2012","Newfoundland and Labrador","2016A000210","Software publishers [51321]","Operating revenue","Dollars","81","millions","6","v100304050","2.1.1","","x","","","1"
"2012","Newfoundland and Labrador","2016A000210","Software publishers [51321]","Operating expenses","Dollars","81","millions","6","v100304051","2.1.2","","x","","","1"
"2012","Newfoundland and Labrador","2016A000210","Software publishers [51321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304052","2.1.3","","x","","","1"
"2012","Newfoundland and Labrador","2016A000210","Software publishers [51321]","Operating profit margin","Percent","239","units","0","v100304053","2.1.4","","x","","","1"
"2012","Newfoundland and Labrador","2016A000210","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating revenue","Dollars","81","millions","6","v100304054","2.2.1","0.5","","","","1"
"2012","Newfoundland and Labrador","2016A000210","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating expenses","Dollars","81","millions","6","v100304055","2.2.2","","x","","","1"
"2012","Newfoundland and Labrador","2016A000210","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304056","2.2.3","","x","","","1"
"2012","Newfoundland and Labrador","2016A000210","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating profit margin","Percent","239","units","0","v100304057","2.2.4","","x","","","1"
"2012","Newfoundland and Labrador","2016A000210","Computer systems design and related services [54151]","Operating revenue","Dollars","81","millions","6","v100304058","2.3.1","107.7","","","","1"
"2012","Newfoundland and Labrador","2016A000210","Computer systems design and related services [54151]","Operating expenses","Dollars","81","millions","6","v100304059","2.3.2","102.0","","","","1"
"2012","Newfoundland and Labrador","2016A000210","Computer systems design and related services [54151]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304060","2.3.3","49.6","","","","1"
