;Java;Python;JavaScript;SQL;TypeScript;C++;PHP;Go;Kotlin
Websites;42;29;80;40;82;3;82;33;20
Utilities;26;45;32;18;32;26;32;39;42
System Software;25;16;15;17;13;34;21;27;18
Database;24;22;10;57;10;11;30;18;15
Libraries;23;18;14;6;22;29;18;29;34
Finance;20;10;14;18;15;6;14;12;20
IT Infraestucture;18;17;8;12;10;12;11;33;13
Programming Tools;13;19;10;6;13;18;11;21;19
Business Intelligence;9;35;5;20;4;10;6;6;8
Entertainment;8;7;12;4;11;9;9;5;17
Games;7;5;6;2;4;26;3;4;9
Security;6;7;3;3;3;7;5;8;5
Home Automation;3;8;3;2;3;6;2;4;5
Blockchain;2;2;5;1;4;3;1;5;1
Hardware;2;3;2;1;1;16;1;2;2
Augmented Reality;1;2;2;0;1;7;0;1;2
